Date,high,low,open,close,volume,Adj Close
2020-01-31,31033.44921875,30691.80078125,30950.5,30833.599609375,333400.0,30833.599609375
2020-02-03,30105.80078125,29612.55078125,29811.75,30023.25,337100.0,30023.25
2020-02-04,30776.94921875,30182.44921875,30235.30078125,30686.69921875,336600.0,30686.69921875
2020-02-05,31065.849609375,30630.849609375,30761.94921875,31001.94921875,427600.0,31001.94921875
2020-02-06,31470.650390625,30917.25,31070.75,31304.05078125,334000.0,31304.05078125
2020-02-07,31368.19921875,31111.05078125,31367.05078125,31201.94921875,254400.0,31201.94921875
2020-02-10,31248.80078125,30957.19921875,31248.650390625,31058.150390625,239700.0,31058.150390625
2020-02-11,31505.94921875,31225.900390625,31230.19921875,31300.599609375,198900.0,31300.599609375
2020-02-12,31588.599609375,31398.150390625,31441.150390625,31492.900390625,226000.0,31492.900390625
2020-02-13,31649.44921875,31180.599609375,31586.55078125,31230.25,303000.0,31230.25
2020-02-14,31436.650390625,30776.099609375,31281.849609375,30834.80078125,341400.0,30834.80078125
2020-02-17,30998.150390625,30630.5,30873.849609375,30680.69921875,0.0,30680.69921875
2020-02-18,30692.75,30252.44921875,30661.5,30562.5,398900.0,30562.5
2020-02-19,30947.150390625,30606.150390625,30905.0,30838.19921875,268800.0,30838.19921875
2020-02-20,31085.30078125,30702.44921875,30862.30078125,30942.849609375,273100.0,30942.849609375
2020-02-24,30702.150390625,30428.0,30666.349609375,30455.099609375,254200.0,30455.099609375
2020-02-25,30610.69921875,30329.94921875,30517.0,30432.69921875,215900.0,30432.69921875
2020-02-26,30515.349609375,30131.75,30279.94921875,30306.849609375,291000.0,30306.849609375
2020-02-27,30271.94921875,29914.150390625,30270.0,30187.0,358000.0,30187.0
2020-02-28,29564.099609375,29051.5,29501.55078125,29147.150390625,386900.0,29147.150390625
2020-03-02,29791.150390625,28571.69921875,29701.0,28868.400390625,368300.0,28868.400390625
2020-03-03,29285.349609375,28749.55078125,29012.55078125,29177.05078125,367300.0,29177.05078125
2020-03-04,29273.650390625,28125.150390625,29252.94921875,28653.69921875,425800.0,28653.69921875
2020-03-05,29134.30078125,28535.599609375,28830.30078125,28815.349609375,1075700.0,28815.349609375
2020-03-06,28047.19921875,27162.30078125,27649.94921875,27801.44921875,1568100.0,27801.44921875
2020-03-09,27091.599609375,25923.400390625,27031.44921875,26462.599609375,1059000.0,26462.599609375
2020-03-11,26791.44921875,26234.099609375,26272.75,26487.80078125,723300.0,26487.80078125
2020-03-12,25223.099609375,23536.349609375,25175.900390625,23971.150390625,760600.0,23971.150390625
2020-03-13,25670.75,21351.69921875,22720.75,25166.44921875,783400.0,25166.44921875
2020-03-16,24074.150390625,23008.25,24061.599609375,23101.150390625,481900.0,23101.150390625
2020-03-17,23449.5,22002.0,23348.05078125,22155.150390625,537700.0,22155.150390625
2020-03-18,22544.05078125,20267.94921875,22411.849609375,20580.19921875,875300.0,20580.19921875
2020-03-19,21035.05078125,18675.650390625,19428.94921875,20083.5,476600.0,20083.5
2020-03-20,20924.55078125,19265.0,19898.30078125,20317.599609375,501800.0,20317.599609375
2020-03-23,18895.650390625,16791.05078125,18311.30078125,16917.650390625,307600.0,16917.650390625
2020-03-24,17841.400390625,16116.25,17705.849609375,17107.30078125,391700.0,17107.30078125
2020-03-25,18740.19921875,16635.5,16759.94921875,18481.05078125,394600.0,18481.05078125
2020-03-26,20409.349609375,18364.5,18781.849609375,19613.900390625,482900.0,19613.900390625
2020-03-27,21462.400390625,19580.099609375,20801.599609375,19969.0,539400.0,19969.0
2020-03-30,19716.25,18668.69921875,19254.44921875,18782.400390625,327000.0,18782.400390625
2020-03-31,19466.30078125,18792.400390625,19307.650390625,19144.0,309800.0,19144.0
2020-04-01,19154.75,18042.25,19122.400390625,18208.349609375,274900.0,18208.349609375
2020-04-03,18326.099609375,17143.19921875,18325.05078125,17249.30078125,342500.0,17249.30078125
2020-04-07,19190.55078125,17953.75,18454.55078125,19062.5,435400.0,19062.5
2020-04-08,20324.099609375,18482.900390625,18799.400390625,18946.44921875,508400.0,18946.44921875
2020-04-09,19988.30078125,19166.900390625,19553.150390625,19913.599609375,390000.0,19913.599609375
2020-04-13,19887.05078125,19294.0,19854.900390625,19488.0,288200.0,19488.0
2020-04-15,20184.099609375,18776.75,20096.349609375,19057.05078125,389900.0,19057.05078125
2020-04-16,19520.30078125,18703.44921875,18957.150390625,19400.0,350300.0,19400.0
2020-04-17,20866.55078125,19729.30078125,20394.75,20681.44921875,475000.0,20681.44921875
2020-04-20,21122.099609375,20444.25,21104.69921875,20522.650390625,438600.0,20522.650390625
2020-04-21,19891.44921875,19247.94921875,19812.05078125,19409.349609375,311900.0,19409.349609375
2020-04-22,19806.349609375,19051.94921875,19306.94921875,19701.849609375,349400.0,19701.849609375
2020-04-23,20356.5,19584.400390625,19871.349609375,20267.94921875,325400.0,20267.94921875
2020-04-24,19950.150390625,19515.400390625,19697.650390625,19586.650390625,305700.0,19586.650390625
2020-04-27,20224.75,19847.650390625,19870.80078125,20081.150390625,299900.0,20081.150390625
2020-04-28,20751.30078125,20260.80078125,20436.599609375,20671.099609375,367800.0,20671.099609375
2020-04-29,21348.150390625,20393.650390625,20440.400390625,21090.19921875,400600.0,21090.19921875
2020-04-30,21967.0,21353.650390625,21589.19921875,21534.5,471500.0,21534.5
2020-05-04,20530.44921875,19643.599609375,20514.75,19743.75,328800.0,19743.75
2020-05-05,20223.150390625,19212.349609375,20147.30078125,19271.75,381300.0,19271.75
2020-05-06,19806.599609375,18941.0,19302.44921875,19694.55078125,395600.0,19694.55078125
2020-05-07,19757.25,19332.150390625,19536.05078125,19491.80078125,300100.0,19491.80078125
2020-05-08,19969.599609375,19285.05078125,19844.0,19352.900390625,0.0,19352.900390625
2020-05-11,19733.400390625,18900.900390625,19610.44921875,18950.5,342600.0,18950.5
2020-05-12,18993.400390625,18287.0,18751.400390625,18862.849609375,395400.0,18862.849609375
2020-05-13,20122.25,19429.900390625,20017.75,19634.94921875,520800.0,19634.94921875
2020-05-14,19380.099609375,19024.75,19197.69921875,19068.5,333000.0,19068.5
2020-05-15,19119.099609375,18683.650390625,19098.80078125,18833.94921875,240600.0,18833.94921875
2020-05-18,18795.099609375,17514.19921875,18795.099609375,17573.19921875,434800.0,17573.19921875
2020-05-19,18175.30078125,17390.650390625,18037.150390625,17486.25,415500.0,17486.25
2020-05-20,18002.650390625,17407.69921875,17486.5,17840.19921875,326200.0,17840.19921875
2020-05-21,18200.69921875,17658.55078125,17901.94921875,17735.099609375,347600.0,17735.099609375
2020-05-22,17952.25,17105.0,17554.25,17278.900390625,484800.0,17278.900390625
